DATE,TEAMS
2025-01-26,"DET,LAL,CHI,BOS,GSW,UTA,MIN,MIA,POR,SAC"
2025-01-27,"MIL,SAC,SAS,CLE,BKN,NYK,ORL,POR,TOR,OKC"
2025-01-28,"ATL,CHI,MIA,MEM,CHA,LAL,SAS,DAL,DET,MIL"
2025-01-29,"NYK,POR,SAC,DAL,MEM,HOU,CLE,BKN,TOR,MIN"
2025-01-30,"ORL,CHA,MEM,BOS,IND,CHI,WAS,POR,DEN,DAL"
2025-01-31,"MEM,SAS,LAC,NYK,MIN,CLE,HOU,CHI,LAL,POR"
2025-02-01,"SAS,NYK,NOP,SAC,LAC,BKN,GSW,ATL,HOU,WAS"
2025-02-02,"SAC,MIN,CHI,NYK,IND,HOU,MIL,ATL,LAL,POR"
2025-02-03,"CHI,MEM,DET,TOR,NOP,LAL,MIL,HOU,SAC,PHI"
2025-02-04,"CLE,IND,UTA,MEM,NOP,PHX,POR,CHA,MIN,MIL"
2025-02-05,"BOS,MIN,UTA,OKC,PHI,CLE,NYK,LAL,PHX,CHI"
2025-02-06,"ATL,WAS,BKN,TOR,POR,DEN,LAC,LAL,NOP,UTA"
2025-02-07,"BKN,WAS,MIL,ATL,POR,CLE,DAL,OKC,CHI,NYK"
2025-02-08,"LAC,OKC,LAL,MIL,CLE,DEN,NOP,MEM,BKN,GSW"
2025-02-09,"WAS,SAS,ATL,POR,DEN,LAL,ORL,UTA,TOR,SAC"
2025-02-10,"BOS,OKC,ORL,DET,CLE,DEN,CHA,SAS,BKN,NOP"
2025-02-11,"TOR,LAC,IND,SAC,NYK,HOU,PHX,CLE,CHI,BKN"
2025-02-12,"GSW,ATL,NYK,MIA,SAS,NOP,CHI,BOS,CLE,LAC"
2025-02-13,"PHI,MIA,BKN,LAC,DAL,OKC,PHX,IND,GSW,CHA"
2025-02-14,"BKN,MIL,LAL,UTA,DAL,SAC,ATL,NYK,NOP,PHI"
2025-02-15,"HOU,UTA,NYK,MIN,ORL,OKC,SAC,PHX,TOR,CHA"
2025-02-16,"DAL,CHA,DEN,MIA,IND,TOR,UTA,MEM,CLE,HOU"
2025-02-17,"PHI,DEN,DET,CHA,LAL,MIL,UTA,SAC,MEM,CHI"
2025-02-18,"HOU,PHX,CHA,ORL,LAL,LAC,CLE,TOR,SAC,ATL"
2025-02-19,"NOP,CHI,ATL,OKC,HOU,CLE,NYK,UTA,MEM,PHX"
2025-02-20,"ATL,LAC,HOU,NOP,NYK,CHA,CLE,BOS,CHI,SAC"
2025-02-21,"POR,PHI,MIL,NOP,MIA,GSW,PHX,TOR,BKN,IND"
2025-02-22,"POR,MIA,WAS,CLE,ATL,IND,ORL,SAS,DET,MIN"
2025-02-23,"MIN,PHX,SAC,DET,TOR,MIL,ATL,NYK,WAS,DAL"
2025-02-24,"POR,DEN,ORL,CLE,MIN,MIL,MEM,IND,PHX,HOU"
